skilllist;skill;effect;condition
Combat;Strike to Injure;The warrior adds +1 to all injury rolls caused in hand-to-hand combat.
Combat;Combat Master;If the warrior fights against more than one enemy at a time, he gains an extra Attack in each hand-to-hand combat phase as long as he is fighting two or more enemy models. In addition, the warrior is immune to ‘All Alone’ tests.
Combat;Weapons Training;A warrior with this skill may use any hand-to-hand combat weapon he comes across, not just those in his equipment options.
Combat;Web of Steel;The warrior gains +1 to all his rolls on Critical Hit tables in hand-to-hand combat.
Combat;Expert Swordsman;This warrior may re-roll all missed attacks if he is using a sword in the hand-to-hand phase of the turn that he charges. Note that this only applies when they are armed with normal swords or weeping blades, and not with double-handed swords or any other weapons
Combat;Step Aside;Each time the warrior suffers a wound in close combat he may make an additional saving throw of 5+. This save is never modified and is taken after all other armour saves.
Combat;Whip Master;The hero may re-roll all to-hit rolls when using a whip.
Shooting;Quick Shot;The warrior may shoot twice per turn with a bow or crossbow (but not a crossbow pistol).
Shooting;Pistolier;If the warrior is equipped with a brace of pistols of any type (including crossbow pistols), he may fire twice in the Shooting phase (though note that normal reloading rules apply). If he has a single pistol then he may fire it in the same turn it was reloaded.
Shooting;Eagle Eyes;The warrior adds +6" to the range of any missile weapon he is using.
Shooting;Weapons Expert;The warrior has been trained to use some of the more unusual weapons of the known world. He may use any missile weapon he comes across, not just the weapons available from his warband’s list.
Shooting;Nimble;The warrior may move and fire with weapons that are normally only used if the firer has not moved. Note that this skill cannot be combined with the Quick Shot skill.
Shooting;Trick Shooter;The warrior ignores all modifiers for cover when using missile weapons.
Shooting;Hunter;The warrior may fire each turn with a handgun or Hochland long rifle.
Shooting;Knife-Fighter;The warrior can throw a maximum of three of throwing knives and throwing stars in his shooting phase and may divide his shots between any targets within range as he wishes. Note that this skill cannot be combined with the Quick Shot skill.
Strength;Mighty Blow;The warrior has a +1 Strength bonus in close combat (excluding pistols). As his Strength is used for close combat weapons, the bonus applies to all such weapons.
Strength;Pit Fighter;The warrior adds +1 to his WS and +1 to his Attacks if he is fighting inside buildings or ruins. It’s a good idea to define which bits of your terrain collection count as ‘buildings or ruins’ at the start of a battle to avoid confusion later.
Strength;Resilient;Deduct -1 Strength from all hits against him in close combat. This does not affect armour save modifiers.
Strength;Fearsome;The warrior causes Fear in opposing models.
Strength;Strongman;The warrior may use a double-handed weapon without the usual penalty of always striking last. Work out order of battle as you would with other weapons.
Strength;Unstoppable Charge;The warrior adds +1 to his Weapon Skill when charging.
Speed;Leap;The warrior may leap D6" in the movement phase in addition to his normal movement. He may move and leap, run and leap, or charge and leap, but he can only leap once per turn. A leaping warrior may jump over opposing man-sized models, including enemies, and obstacles 1" high, without penalty. The leap may also be used to leap over gaps, but in this case you must commit the warrior to making the leap before rolling the dice to see how far he jumps. If he fails to make it all the way across, he falls through the gap.
Speed;Sprint;The warrior may triple his Movement rate when he runs or charges, rather than doubling it as normal.
Speed;Acrobat;The warrior may fall or jump from a height of up to 12" without taking any damage if he passes a single Initiative test, and can re-roll failed Diving Charge rolls. He can still only make a diving charge from a height of up to 6".
Speed;Lightning Reflexes;If the warrior is charged he will ‘strike first’ against those that charged that turn. As the charger(s) will also normally ‘strike first’ (for charging), the order of attack between the charger(s) and the warrior with this skill will be determined by comparing Initiative values.
Speed;Jump Up;The warrior may ignore knocked down results when rolling for injuries, unless he is knocked down because of a successful save from wearing a helmet or because he has the No Pain special rule.
Speed;Dodge;A warrior can avoid any hits from a missile weapon on a D6 roll of 5+. Note that this roll is taken against missiles as soon as a hit is scored to see whether the warrior dodges it or not, before rolling to wound, and before any effects from other skills or equipment (such as lucky charms).
